Date,Match,Bet,Odds,Stake,Status,P/L,Notes,Combined Odds,Duplicate_Note
2026-05-25,Norge vs Danmark,Over 4.5,1.67,10,Won,+6.70,,,
2026-05-25,Norge vs Danmark,Norge -1.5,2.15,10,Lost,-10,,
2026-05-25,Montreal vs Carolina,Over 5.5,1.72,10,Lost,-10,,
2026-05-25,Vegas + Dodgers + Botafogo Combo,Vegas ML + Dodgers -2.5 + Botafogo,~,10,Lost,-10,,
2026-05-26,Sveits/USA/Stabaek Combo,Multiple Overs,~,10,Lost,-10,,
2026-05-26,Brann W vs Lyn W,Over 2.5,1.40,10,Won,+4.00,,
2026-05-26,Vegas vs Colorado,Vegas ML,1.90,10,Won,+9.00,,
2026-05-26,OKC vs Spurs,OKC ML,1.52,10,Won,+5.20,,
2026-05-26,Leknessund vs Valgren,Leknessund Win,1.60,10,Lost,-10,,
2026-05-26,Vegas-anchored Combo,Multiple,~,10,Lost,-10,,
2026-05-26,Gremio vs Torque,Gremio Win,1.52,10,Lost,-10,,
2026-05-26,Lanus vs Mirassol,Over 2.5,2.50,10,Lost,-10,,
2026-05-26,Palestino vs Riestra,BTTS Ja,1.92,10,Won,+9.20,,
2026-05-26,Gremio/LDU/San Lorenzo Combo,Multiple Wins,~,10,Lost,-10,,
2026-05-27,Drammen vs Kolstad,Kolstad -2.5,1.90,10,Won,+9.00,,
2026-05-27,Esbjerg vs Odense,Esbjerg -2.5,1.75,10,Won,+7.50,,
2026-05-27,Ruud vs Medjedovic,Ruud ML,1.35,10,Won,+3.50,,
2026-05-27,Ruud Combo (Ruud+Kolstad+PSG+Fonseca),4-ling,7.94,10,Won,+69.41,,
2026-05-27,Fylkir vs Leiknir,Fylkir Win,1.27,10,Won,+2.70,,
2026-05-27,Athletics vs Mariners,Mariners ML,1.74,10,Won,+7.40,,
2026-05-27,Crystal Palace vs Rayo,Crystal Palace Win,2.05,10,Won,+10.50,,
2026-05-27,Fylkir-anchored Combo,Multiple,~,10,Lost,-10,,
2026-05-28,Nakashima vs Van Assche,Nakashima -4.5,1.80,10,Won,+8.00,,
2026-05-28,Tsitsipas vs Arnaldi,Tsitsipas -1.5,~,10,Lost,-10,,
2026-05-28,Mboko vs Siniakova,Mboko -4.5,1.90,10,Lost,-10,,
2026-05-28,Norge vs Latvia,Under 4.5,1.52,10,Won,+5.20,,
2026-05-28,Sveits vs Sverige,Sveits (HUB),2.30,10,Won,+13.00,,
2026-05-28,Wieczysta vs Polonia,Wieczysta Win,1.85,10,Won,+8.50,,
2026-05-28,Big 4-ling (Norge U4.5 + Sveits + Wieczysta + Casa Pia U2.5),4-ling,10.19,10,Won,+91.89,,
2026-05-28,Storhamar vs Sola,Storhamar -1.5,1.87,10,Lost,-10,,
2026-05-28,28/05 Combo,Multiple,~,10,Lost,-10,,
2026-05-28,Canada vs USA,Canada -1.5,1.62,10,Won,+6.20,,
2026-05-28,Finland vs Tsjekkia,Finland -1.5,1.82,10,Won,+8.20,,
2026-05-28,Finland vs Tsjekkia,Finland -1.5 (2nd),1.82,10,Won,+8.20,,
2026-05-29,Djokovic 4-ling,Djokovic + Zverev -7.5 + Over 57.5 + Bolelli,6.36,10,Open,0,,
2026-05-29,Ruud vs Paul,Ruud -1.5 Sets,1.57,10,Open,0,,
2026-05-29,Malmö vs Kristianstad,Over 65.5,1.82,10,Open,0,,
2026-05-29,Füchse Berlin vs Eisenach,Füchse -5.5,1.70,10,Open,0,,
